candidate_count_at_time,eligible_candidate_count,mode,movie_index,paired_predicted_center_t,paired_predicted_center_x,paired_predicted_center_y,paired_predicted_center_z,production_time_index_int_truncation,selected_annotation_index,selected_annotation_x,selected_annotation_y,selected_annotation_z,selected_distance_voxels,selected_is_nearest,source_index,source_time,source_x,source_y,source_z
5,1,all_groundtruth_centers,0,,,,,2,3,78.0,855.5,5.0,0.5,True,0,2.0,78.0,855.0,5.0
5,1,all_groundtruth_centers,0,,,,,2,0,289.0,131.5,4.0,0.5,True,1,2.0,289.0,131.0,4.0
5,1,all_groundtruth_centers,0,,,,,2,2,442.5,817.5,4.0,0.7071067811865476,True,2,2.0,442.0,817.0,4.0
5,1,all_groundtruth_centers,0,,,,,2,4,614.5,380.0,3.0,1.118033988749895,True,3,2.0,614.0,380.0,4.0
5,1,all_groundtruth_centers,0,,,,,2,1,982.0,372.5,4.0,0.5,True,4,2.0,982.0,372.0,4.0
5,1,all_groundtruth_centers,0,,,,,3,2,292.0,570.5,4.0,0.5,True,5,3.0,292.0,570.0,4.0
5,1,all_groundtruth_centers,0,,,,,3,3,659.0,13.5,4.0,0.5,True,6,3.0,659.0,13.0,4.0
5,1,all_groundtruth_centers,0,,,,,3,1,661.0,611.5,5.0,0.5,True,7,3.0,661.0,611.0,5.0
5,1,all_groundtruth_centers,0,,,,,3,4,914.5,40.5,4.5,0.8660254037844386,True,8,3.0,914.0,40.0,4.0
5,1,all_groundtruth_centers,0,,,,,3,0,974.5,543.0,4.0,0.5,True,9,3.0,974.0,543.0,4.0
6,1,all_groundtruth_centers,0,,,,,4,1,84.0,216.0,3.0,1.0,True,10,4.0,84.0,216.0,4.0
6,1,all_groundtruth_centers,0,,,,,4,0,240.0,404.5,3.5,0.7071067811865476,True,11,4.0,240.0,404.0,4.0
6,1,all_groundtruth_centers,0,,,,,4,5,322.0,625.0,4.5,0.5,True,12,4.0,322.0,625.0,4.0
6,1,all_groundtruth_centers,0,,,,,4,3,649.5,420.0,4.0,0.5,True,13,4.0,649.0,420.0,4.0
6,1,all_groundtruth_centers,0,,,,,4,4,741.5,404.0,3.5,0.7071067811865476,True,14,4.0,741.0,404.0,4.0
6,1,all_groundtruth_centers,0,,,,,4,2,890.0,266.0,3.5,0.5,True,15,4.0,890.0,266.0,4.0
6,1,all_groundtruth_centers,0,,,,,5,4,60.5,426.0,4.0,0.5,True,16,5.0,60.0,426.0,4.0
6,1,all_groundtruth_centers,0,,,,,5,5,325.5,715.0,3.5,0.7071067811865476,True,17,5.0,325.0,715.0,4.0
6,1,all_groundtruth_centers,0,,,,,5,1,553.5,176.5,3.5,0.8660254037844386,True,18,5.0,553.0,176.0,4.0
6,1,all_groundtruth_centers,0,,,,,5,0,631.5,514.0,3.5,0.7071067811865476,True,19,5.0,631.0,514.0,4.0
6,1,all_groundtruth_centers,0,,,,,5,3,699.0,246.0,4.0,0.0,True,20,5.0,699.0,246.0,4.0
6,1,all_groundtruth_centers,0,,,,,5,2,981.5,63.0,3.5,0.7071067811865476,True,21,5.0,981.0,63.0,4.0
6,1,all_groundtruth_centers,0,,,,,6,1,156.5,167.0,4.5,0.7071067811865476,True,22,6.0,156.0,167.0,4.0
6,1,all_groundtruth_centers,0,,,,,6,0,192.0,742.0,4.0,0.0,True,23,6.0,192.0,742.0,4.0
6,1,all_groundtruth_centers,0,,,,,6,4,236.5,705.0,4.0,0.5,True,24,6.0,236.0,705.0,4.0
6,1,all_groundtruth_centers,0,,,,,6,5,400.5,688.0,4.0,0.5,True,25,6.0,400.0,688.0,4.0
6,1,all_groundtruth_centers,0,,,,,6,2,735.0,37.5,4.0,0.5,True,26,6.0,735.0,37.0,4.0
6,1,all_groundtruth_centers,0,,,,,6,3,935.5,14.5,6.0,1.224744871391589,True,27,6.0,935.0,14.0,5.0
4,1,all_groundtruth_centers,0,,,,,7,0,35.5,349.5,3.0,1.224744871391589,True,28,7.0,35.0,349.0,4.0
4,1,all_groundtruth_centers,0,,,,,7,2,422.0,114.0,3.5,0.5,True,29,7.0,422.0,114.0,4.0
4,1,all_groundtruth_centers,0,,,,,7,3,600.5,129.0,5.0,0.5,True,30,7.0,600.0,129.0,5.0
4,1,all_groundtruth_centers,0,,,,,7,1,851.5,403.0,4.0,0.5,True,31,7.0,851.0,403.0,4.0
6,1,all_groundtruth_centers,0,,,,,8,3,157.5,557.5,5.0,0.7071067811865476,True,32,8.0,157.0,557.0,5.0
6,1,all_groundtruth_centers,0,,,,,8,4,338.0,750.0,4.0,0.0,True,33,8.0,338.0,750.0,4.0
6,1,all_groundtruth_centers,0,,,,,8,0,557.5,146.0,3.5,0.7071067811865476,True,34,8.0,557.0,146.0,4.0
6,1,all_groundtruth_centers,0,,,,,8,2,836.0,439.0,4.0,0.0,True,35,8.0,836.0,439.0,4.0
6,1,all_groundtruth_centers,0,,,,,8,1,903.0,377.0,3.5,0.5,True,36,8.0,903.0,377.0,4.0
6,1,all_groundtruth_centers,0,,,,,8,5,925.5,540.5,3.5,0.8660254037844386,True,37,8.0,925.0,540.0,4.0
6,1,all_groundtruth_centers,0,,,,,9,4,196.0,200.0,3.5,0.5,True,38,9.0,196.0,200.0,4.0
6,1,all_groundtruth_centers,0,,,,,9,5,536.5,84.0,4.0,0.5,True,39,9.0,536.0,84.0,4.0
6,1,all_groundtruth_centers,0,,,,,9,3,607.5,91.0,4.0,0.5,True,40,9.0,607.0,91.0,4.0
6,1,all_groundtruth_centers,0,,,,,9,1,730.0,530.0,3.5,0.5,True,41,9.0,730.0,530.0,4.0
6,1,all_groundtruth_centers,0,,,,,9,0,822.0,527.5,3.5,0.7071067811865476,True,42,9.0,822.0,527.0,4.0
6,1,all_groundtruth_centers,0,,,,,9,2,998.0,477.0,3.5,0.5,True,43,9.0,998.0,477.0,4.0
4,1,all_groundtruth_centers,0,,,,,10,0,295.5,80.0,4.0,0.5,True,44,10.0,295.0,80.0,4.0
4,1,all_groundtruth_centers,0,,,,,10,3,395.0,456.0,3.5,2.29128784747792,True,45,10.0,396.0,458.0,4.0
4,1,all_groundtruth_centers,0,,,,,10,1,516.0,660.0,3.5,0.5,True,46,10.0,516.0,660.0,4.0
4,1,all_groundtruth_centers,0,,,,,10,2,827.5,656.5,4.0,0.7071067811865476,True,47,10.0,827.0,656.0,4.0
9,1,all_groundtruth_centers,0,,,,,11,3,114.5,551.5,4.0,0.7071067811865476,True,48,11.0,114.0,551.0,4.0
9,1,all_groundtruth_centers,0,,,,,11,4,174.5,621.0,4.0,0.5,True,49,11.0,174.0,621.0,4.0
9,1,all_groundtruth_centers,0,,,,,11,2,348.5,479.0,4.0,0.5,True,50,11.0,348.0,479.0,4.0
9,1,all_groundtruth_centers,0,,,,,11,8,410.0,314.0,3.5,0.5,True,51,11.0,410.0,314.0,4.0
9,1,all_groundtruth_centers,0,,,,,11,0,533.5,411.0,4.0,0.5,True,52,11.0,533.0,411.0,4.0
9,1,all_groundtruth_centers,0,,,,,11,7,590.5,239.5,3.0,1.224744871391589,True,53,11.0,590.0,239.0,4.0
9,1,all_groundtruth_centers,0,,,,,11,5,690.5,72.5,4.0,0.7071067811865476,True,54,11.0,690.0,72.0,4.0
9,1,all_groundtruth_centers,0,,,,,11,6,693.5,298.0,3.5,0.7071067811865476,True,55,11.0,693.0,298.0,4.0
5,1,all_groundtruth_centers,0,,,,,12,1,112.0,400.5,4.0,0.5,True,56,12.0,112.0,400.0,4.0
5,1,all_groundtruth_centers,0,,,,,12,2,171.5,335.0,3.0,1.118033988749895,True,57,12.0,171.0,335.0,4.0
5,1,all_groundtruth_centers,0,,,,,12,0,217.0,409.5,4.0,0.5,True,58,12.0,217.0,409.0,4.0
5,1,all_groundtruth_centers,0,,,,,12,4,719.0,713.0,4.0,0.0,True,59,12.0,719.0,713.0,4.0
5,1,all_groundtruth_centers,0,,,,,12,3,933.5,279.0,4.0,0.5,True,60,12.0,933.0,279.0,4.0
5,1,all_groundtruth_centers,0,,,,,13,0,316.0,519.5,3.0,1.118033988749895,True,61,13.0,316.0,519.0,4.0
5,1,all_groundtruth_centers,0,,,,,13,3,426.0,649.0,4.0,0.0,True,62,13.0,426.0,649.0,4.0
5,1,all_groundtruth_centers,0,,,,,13,1,440.5,295.0,3.5,0.7071067811865476,True,63,13.0,440.0,295.0,4.0
5,1,all_groundtruth_centers,0,,,,,13,4,651.5,390.5,4.0,0.7071067811865476,True,64,13.0,651.0,390.0,4.0
5,1,all_groundtruth_centers,0,,,,,13,2,673.25,106.0,4.0,0.25,True,65,13.0,673.0,106.0,4.0
6,1,all_groundtruth_centers,0,,,,,14,0,61.5,137.0,3.0,1.118033988749895,True,66,14.0,61.0,137.0,4.0
6,1,all_groundtruth_centers,0,,,,,14,4,386.0,264.0,3.5,0.5,True,67,14.0,386.0,264.0,4.0
6,1,all_groundtruth_centers,0,,,,,14,5,561.5,36.5,3.5,0.8660254037844386,True,68,14.0,561.0,36.0,4.0
6,1,all_groundtruth_centers,0,,,,,14,1,654.5,350.0,4.5,0.7071067811865476,True,69,14.0,654.0,350.0,4.0
6,1,all_groundtruth_centers,0,,,,,14,2,775.5,454.25,3.5,0.75,True,70,14.0,775.0,454.0,4.0
