absolute_length_error_voxels,center_distance_voxels,center_source_archive,corrected_axis_defined,corrected_nematic_axis_error_deg,evaluated,inference_center_m,inference_center_t,inference_center_x,inference_center_y,inference_center_z,mode,model,pair_index,pipeline,predicted_length_voxels,predicted_quaternion_vector_norm,production_quaternion_error_deg,reported_pair_count,scope,target_center_m,target_center_t,target_center_x,target_center_y,target_center_z,time_distance_frames,true_length_voxels,true_quaternion_vector_norm
11.623626152090651,0.5,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,76.77563311278011,True,0.0,2.0,78.0,855.0,5.0,all_groundtruth_centers,released_saved_predictions,0,released_saved_predictions_regression_released_centers,20.516691207885742,0.32421547487546426,36.966820118665524,122,movie_I2_released_center_regression_replay,0.0,2.0,78.0,855.5,5.0,0.0,32.14031735997639,0.04672137582495133
13.938524478338344,0.5,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,11.440072870218867,True,0.0,2.0,289.0,131.0,4.0,all_groundtruth_centers,released_saved_predictions,1,released_saved_predictions_regression_released_centers,18.13950538635254,0.7475023157245531,19.19052063238757,122,movie_I2_released_center_regression_replay,0.0,2.0,289.0,131.5,4.0,0.0,32.07802986469088,0.7903770830713469
5.579875352940483,0.7071067811865476,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,54.32814174961817,True,0.0,2.0,442.0,817.0,4.0,all_groundtruth_centers,released_saved_predictions,2,released_saved_predictions_regression_released_centers,17.354814529418945,0.6633037901039083,66.22264660150842,122,movie_I2_released_center_regression_replay,0.0,2.0,442.5,817.5,4.0,0.0,22.93468988235943,0.5511721062570712
11.893676771974498,1.118033988749895,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,81.45931084854361,True,0.0,2.0,614.0,380.0,4.0,all_groundtruth_centers,released_saved_predictions,3,released_saved_predictions_regression_released_centers,18.5201358795166,0.5602151428711648,76.54809148889314,122,movie_I2_released_center_regression_replay,0.0,2.0,614.5,380.0,3.0,0.0,30.4138126514911,0.23690237313154747
16.666100725106304,0.5,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,32.84317636267629,True,0.0,2.0,982.0,372.0,4.0,all_groundtruth_centers,released_saved_predictions,4,released_saved_predictions_regression_released_centers,18.900737762451172,0.47642685200645024,58.424270603549225,122,movie_I2_released_center_regression_replay,0.0,2.0,982.0,372.5,4.0,0.0,35.566838487557476,0.7644267470743872
15.6694994620972,0.5,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,84.12317949463562,True,0.0,3.0,292.0,570.0,4.0,all_groundtruth_centers,released_saved_predictions,5,released_saved_predictions_regression_released_centers,18.812379837036133,0.4778539085711086,66.36272520914285,122,movie_I2_released_center_regression_replay,0.0,3.0,292.0,570.5,4.0,0.0,34.48187929913333,0.25492922432957776
13.99422944379203,0.5,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,9.09926065607642,True,0.0,3.0,659.0,13.0,4.0,all_groundtruth_centers,released_saved_predictions,6,released_saved_predictions_regression_released_centers,18.762449264526367,0.9557444020518736,17.706999558032994,122,movie_I2_released_center_regression_replay,0.0,3.0,659.0,13.5,4.0,0.0,32.7566787083184,0.9630128534583418
13.871050490698309,0.5,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,20.899067946576757,True,0.0,3.0,661.0,611.0,5.0,all_groundtruth_centers,released_saved_predictions,7,released_saved_predictions_regression_released_centers,19.430601119995117,0.8728300520564051,38.5159515883339,122,movie_I2_released_center_regression_replay,0.0,3.0,661.0,611.5,5.0,0.0,33.301651610693426,0.911215643420601
10.254710606722671,0.8660254037844386,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,34.39409028538221,True,0.0,3.0,914.0,40.0,4.0,all_groundtruth_centers,released_saved_predictions,8,released_saved_predictions_regression_released_centers,19.190153121948242,0.717103312831424,99.9833365321317,122,movie_I2_released_center_regression_replay,0.0,3.0,914.5,40.5,4.5,0.0,29.444863728670914,0.08691479699192046
17.47285321837525,0.5,DARE3d_data_190326/Neural_tube_160226/weights/regression3d_new_set_og/runs/12-01-26/all_true_centers/raw_predictions.npz,True,34.00746074371522,True,0.0,3.0,974.0,543.0,4.0,all_groundtruth_centers,released_saved_predictions,9,released_saved_predictions_regression_released_centers,18.927696228027344,0.5224150261280005,37.141200184811744,122,movie_I2_released_center_regression_replay,0.0,3.0,974.5,543.0,4.0,0.0,36.40054944640259,0.5669491050718021
