path,bytes,sha256
manuscript_280826version/Figure7_DARE010426.pdf,1750602,54e5955459a6932a093009fae05d1a887d2a9876303ce983960c5dca2e2f09bd
manuscript_280826version/figures/3D_TPFNFP.pdf,270311,8b7646a689af8a987a7e17bd295ea50d7f496e157e69e3437704e5e8f275857e
manuscript_280826version/figures/3D_TPFNFP.svg,457505,d54f38a4bf557189f1a70411c3c55c60a494acfdb2295b15c5758c8687762aef
manuscript_280826version/figures/3D_TPFNFP.svg.pdf,270311,2270d80d4d0331e704037f77c80503b840b7fc2f21f664a1f7994f3307f718c7
manuscript_280826version/figures/avian_neuraltube.pdf,1436126,377a590c9b370f8a1d53e08f0bb3630ee0e13b297197585a9caf53555bc395c6
manuscript_280826version/figures/avian_neuraltube.png,103895,e3b96da92e25e1d75f087e193cedd882ac76aefb032fdb7ed069ac4cf22cfbbb
manuscript_280826version/figures/avian_neuraltube_2.pdf,1440949,9bd84e30f674622bb8afb44f2f643780458c568fc4ebb94e05bc3ab6c3b14674
manuscript_280826version/figures/avian_neuraltube_new.pdf,1439181,6a07ca81fa513c188b081c51a17b156496f3e67fae17d91f40879788c60b8709
manuscript_280826version/figures/challenge_annotation_01042026_v1.pdf,458864,7b4580f99855bd9f402c608140f2b8f785b1190825a145af1405118732b95cb6
manuscript_280826version/figures/challenges_annotations.png,437011,2b9b27fe21e8b4e000511d495b543101bef49c9422f16005c17031290b1e43ae
manuscript_280826version/figures/challenges_annotations_old.png,486450,84f53d83ff400f284b4ca829d68f1a763613bc2d647d50773665a251d9998142
manuscript_280826version/figures/Dare3d_1.png,2120410,0537d94c7dfff194809627a962b9c5147acf2ebb4ce17e49181a16a1a4b94576
manuscript_280826version/figures/DARE3d_2.png,2144363,a3089e63bd0629002a83bbbdf93d0195ee39db588b3232c453851fd2b7de3d74
manuscript_280826version/figures/DARE3d_nuclei.png,1131884,4d705c6a3fce4a183474dfcd8ffd58d80f67c1d12d159b44f39a49fdf25709d0
manuscript_280826version/figures/deletme.svg,4139087,dd820ffa3e515158086d5b6a0933301a6fdeddcacdcc6c06172d7ee1294fb48f
manuscript_280826version/figures/F1scoreFinal10.pdf,94187,1f659044a776d11179b61766a65ef77911a89f9481dd894942d3cb3be58a1b99
manuscript_280826version/figures/false_detections.png,3023353,2d8c614bd2896d3a32d0ec58f58afb1f09de4a25eb963602b8971a787697042b
manuscript_280826version/figures/false_detections2.jp2,221664,695a6354e94f59a1f4864dfacd77180ab0eed58a6494e5255451e126a65d2fdd
manuscript_280826version/figures/false_detections2.jpg,712601,0b41464b73209c66f614a58cf12c043d5959f1876403b1ba1c7a58fc08ada85b
manuscript_280826version/figures/Fig7_01042026_v1.pdf,1819656,65f87446109c8447cc658c1db26b4ade24b995470394bb64bc8cee2939e7aee2
manuscript_280826version/figures/Figure7_DARE010426.pdf,1750654,4b661f7f032db7cd61e18060dbefcf8afe4d499eaed5eac12d55003586b1ddec
manuscript_280826version/figures/Figure7_DARE010426.svg,2016463,da2a8fbf6ce28a0cc14b0c35111b14d52420e7d89acb571b78d6e5aec5acc949
manuscript_280826version/figures/Figure7_DARE010426_2.pdf,1750602,ccdde44b2fe00856e2d88b523b2c022b2889ec67dcaabd995646b1e2ff4270fc
manuscript_280826version/figures/FigureOverall3.pdf,141010,63b414288b3a5049678a15bb9499609c4e16a5b0da385f441be490f060c8d7a1
manuscript_280826version/figures/regression.png,2049428,478a196eaa291b5b6155efd89b3fd15656dcbee3ac4f8e4436ae75b0b4d59f61
manuscript_280826version/figures/Totalexample3.pdf,141208,00c62708ac6ce299b8c1a95b617830f873609f88889f738012c589831352c73d
manuscript_280826version/figures/xy_xz_divisions.png,568899,e2a15b5b6db04783b88862f5f03dfd189b6cf4a088b7cbfafae31c46a1c8d9da
manuscript_280826version/main.tex,74206,91e1fb67690295f7d30679e43f39e9c09b8acd069161a020f40c9acd6f86f573
manuscript_280826version/refs.bib,139380,6ebec4ee7cc096f62a2d885dc869054ec81eb0aaa249a61e08e1ef8f78aac58a
